Date,Open,High,Low,Close,Volume
03/01/2011,298.538544,303.098083,298.538544,302.477478,4725600
04/01/2011,303.113098,303.393402,300.360352,301.361359,3645300
05/01/2011,300.335327,305.470459,300.325317,304.839844,5059500
06/01/2011,305.64566,309.524536,305.330322,307.057068,4111400
07/01/2011,308.263275,309.434448,305.370361,308.528534,4198100
10/01/2011,307.707703,308.002991,304.584595,307.412415,3155200
11/01/2011,309.164154,309.709717,307.557556,308.313324,2875700
12/01/2011,309.984985,309.984985,307.692688,308.743744,3262100
13/01/2011,308.793793,310.145142,307.38739,308.653656,2665300
14/01/2011,309.009003,312.447449,308.848846,312.402405,4726400
18/01/2011,313.343353,321.316315,312.947937,320.135132,7226700
19/01/2011,321.381378,321.801788,315.145142,316.191193,6805300
20/01/2011,316.421417,317.357361,311.95697,313.6987,10960600
21/01/2011,320.110107,321.186188,305.985992,306.221222,17790900
24/01/2011,304.089081,306.551544,300.915924,305.845856,9189200
25/01/2011,304.404419,310.65567,303.563568,310.265259,7286300
26/01/2011,310.475464,311.556549,307.947937,308.558563,4072100
27/01/2011,309.254242,310.160156,306.931946,308.703705,4034300
28/01/2011,309.844849,310.490479,300.180176,300.795807,8453700
31/01/2011,302.102112,302.537537,298.073059,300.480469,5604100
01/02/2011,302.547546,306.981995,301.856842,305.825836,5485100
02/02/2011,305.805817,307.477478,304.069061,306.306305,3517800
03/02/2011,305.045044,306.031036,303.368378,305.380371,2987200
04/02/2011,305.380371,306.026031,303.608612,305.795807,3098400
07/02/2011,305.385376,309.504517,304.909912,307.452454,3595600
08/02/2011,307.772766,310.125122,307.562561,309.499512,3386400
09/02/2011,308.743744,310.035034,306.476471,308.558563,3681300
10/02/2011,307.257263,309.059052,306.08609,308.528534,4664100
11/02/2011,307.202209,312.812805,306.806793,312.562561,5174600
14/02/2011,311.981995,315.135132,310.330322,314.389404,4251700
15/02/2011,313.973969,315.360352,311.861847,312.38739,4179800
16/02/2011,313.128143,313.563568,311.361359,312.422424,3364600
17/02/2011,310.935944,313.938934,310.450439,312.942932,2954600
18/02/2011,313.313324,315.905914,312.402405,315.355347,6429300
22/02/2011,310.325317,312.777771,304.189178,305.4104,7272500
23/02/2011,305.470459,307.657654,302.302307,305.965973,5773400
24/02/2011,306.001007,306.851837,300.975983,304.714722,5417900
25/02/2011,306.236237,307.667664,305.055054,305.325317,3860900
28/02/2011,305.305298,308.553558,304.309296,307.007019,4558400
01/03/2011,309.199188,309.919922,299.949951,300.680695,6639700
02/03/2011,300.200195,303.303314,297.892883,300.695709,4049300
03/03/2011,303.4935,306.051056,302.802795,305.085083,3886700
04/03/2011,304.469482,304.7948,300.400391,300.610596,6015900
07/03/2011,300.575562,302.147156,293.793793,296.126129,6918400
08/03/2011,296.761749,299.289276,295.395386,296.451447,4565200
09/03/2011,295.795807,297.552551,293.168182,296.181183,4297600
10/03/2011,293.013,293.603607,290.015015,290.44043,6249900
11/03/2011,289.399414,290.290283,286.951965,288.643646,6057900
14/03/2011,286.686676,289.434448,284.294281,285.280273,5626500
15/03/2011,279.029022,285.785797,278.028015,285.065063,8003100
16/03/2011,284.289276,285.180176,275.915924,278.828827,7589400
17/03/2011,282.522522,284.78479,280.550537,280.960968,5792800
18/03/2011,282.6026,284.279266,280.150146,280.810822,6590600
21/03/2011,285.395386,290.190186,284.7948,288.538544,6035700
22/03/2011,288.92392,289.904907,286.541534,288.948944,3770000
23/03/2011,287.882874,291.51651,286.286285,291.371368,3628700
24/03/2011,293.007996,294.489502,289.689697,293.738739,4193200
25/03/2011,293.733734,293.748749,289.909912,290.160156,5711000
28/03/2011,291.326324,292.787781,287.642639,287.967957,4432300
29/03/2011,288.2883,291.236237,286.791779,291.156158,3206300
30/03/2011,292.482483,293.04303,290.580566,291.211212,2841700
31/03/2011,291.791779,294.374359,291.161163,293.673676,4054700
01/04/2011,294.674683,297.892883,294.674683,296.196198,5221100
04/04/2011,296.796783,297.667664,291.841827,294.134125,4104800
05/04/2011,290.830841,291.036041,283.123108,284.829834,12082900
06/04/2011,286.376373,287.867859,284.284271,287.37738,5331200
07/04/2011,288.153168,290.610596,287.382385,290.290283,5057900
08/04/2011,292.737732,292.737732,289.319305,289.369354,3799700
11/04/2011,288.388397,289.339325,286.786774,288.973969,3712600
12/04/2011,287.787781,288.743744,284.309296,285.590576,4167000
13/04/2011,288.04303,289.089081,286.161163,288.428436,4134600
14/04/2011,287.882874,290.015015,286.336334,289.544556,10901600
15/04/2011,272.917908,273.148163,265.295288,265.615601,28059300
18/04/2011,263.47348,264.094086,259.759766,263.683685,10069500
19/04/2011,265.240234,265.705719,260.710724,261.026031,5362800
20/04/2011,263.213226,263.673676,260.955963,263.128143,6113800
21/04/2011,264.009003,264.404419,261.456451,262.812805,4935200
25/04/2011,262.887878,263.763763,261.266266,262.787781,3258300
26/04/2011,263.523529,268.988983,262.867859,266.676666,6993000
27/04/2011,269.269257,269.32431,267.442444,269.149139,4592200
28/04/2011,269.299286,269.894897,267.307312,269.254242,3996000
29/04/2011,270.270264,272.322327,269.524536,272.322327,8448500
02/05/2011,273.123108,273.138153,268.828827,269.549561,4263100
03/05/2011,268.833832,271.276276,265.080078,267.212219,4158800
04/05/2011,267.852844,269.769775,266.776764,268.163177,4229700
05/05/2011,267.197205,269.97998,266.016022,267.402405,3991600
06/05/2011,269.34433,271.001007,267.857849,267.917908,4108000
09/05/2011,267.767761,269.514526,265.815826,269.1091,3893500
10/05/2011,270.270264,272.487488,269.039032,271.601593,4081700
11/05/2011,270.340332,272.047058,267.112122,267.992981,4672900
12/05/2011,267.887878,268.738739,265.720734,267.792786,2893700
13/05/2011,267.572571,268.228241,264.789795,265.040039,4213100
16/05/2011,263.418427,263.898895,258.458466,259.469482,5910400
17/05/2011,257.972961,265.875885,257.772766,265.495483,6600500
18/05/2011,265.035034,265.43042,263.113098,265.170166,3902400
19/05/2011,266.631622,268.538544,265.125122,265.8909,4932400
20/05/2011,266.166168,266.261261,261.826813,262.277283,4630300
23/05/2011,258.558563,260.260254,256.95697,259.454468,4595400
24/05/2011,260.445435,262.242249,259.33432,259.389404,3796200
25/05/2011,258.92392,261.646637,258.883881,260.095093,2600500
26/05/2011,259.1091,261.32132,257.757751,259.32431,4232700
27/05/2011,259.499512,261.156158,258.408417,260.710724,3488100
31/05/2011,262.762756,264.789795,262.012024,264.77478,5369200
01/06/2011,264.284271,266.866852,262.917908,263.063049,5905800
02/06/2011,264.049042,265.415405,261.501495,264.294281,4404500
03/06/2011,261.261261,264.064056,261.011017,261.801788,3493500
06/06/2011,262.032043,263.673676,259.884888,260.790802,3880300
07/06/2011,261.706696,262.577576,259.754761,259.77478,3811300
08/06/2011,258.523529,260.88089,258.148163,259.844849,3303400
09/06/2011,260.260254,260.260254,258.078064,258.623627,3374800
10/06/2011,257.297302,258.603607,254.899902,255.01001,4874900
13/06/2011,255.255249,255.355362,251.336334,252.617615,4849700
14/06/2011,254.32933,257.297302,253.748749,254.439438,4678300
15/06/2011,252.767761,254.429428,250.555557,251.72673,4142400
16/06/2011,251.656662,253.538544,248.583588,250.43544,5508400
17/06/2011,253.343338,253.598602,242.642639,242.752747,10480300
20/06/2011,242.742737,243.358353,239.854858,242.532532,6051100
21/06/2011,243.838837,247.217224,242.607605,246.74675,5525200
22/06/2011,245.970978,246.421417,243.608612,243.748749,4809300
23/06/2011,241.306305,241.671677,237.102097,240.350357,9593700
24/06/2011,240.580582,240.615616,236.74675,237.677673,7603500
27/06/2011,237.237244,244.444443,237.037033,241.641647,6882500
28/06/2011,242.252258,248.353348,242.252258,247.072067,5424700
29/06/2011,248.518524,250.375381,246.436432,249.034027,4681300
30/06/2011,251.246246,253.588593,251.001007,253.443451,4851900
01/07/2011,253.623627,260.850861,253.443451,260.775787,7266100
05/07/2011,262.912903,267.967957,262.912903,266.486481,7690700
06/07/2011,267.017029,269.524536,266.786774,267.947937,5385800
07/07/2011,270.770782,275.615601,268.208221,273.573578,7863100
08/07/2011,266.74173,269.094086,263.898895,266.261261,9530800
11/07/2011,264.35434,268.25827,263.013,263.9039,5672900
12/07/2011,264.34433,269.97998,263.263275,267.272278,5676700
13/07/2011,268.768768,272.272278,268.508514,269.399414,5574800
14/07/2011,269.829834,271.271271,263.628632,264.734741,13285700
15/07/2011,299.049042,300.425415,294.374359,299.1091,27436700
18/07/2011,296.541534,301.326324,296.296295,297.767761,8927600
19/07/2011,298.368378,302.642639,298.063049,301.576569,5929000
20/07/2011,301.391388,301.716705,297.972961,297.972961,4451100
21/07/2011,297.312317,304.33432,297.302307,303.798798,6932000
22/07/2011,302.997986,310.060059,302.437439,309.424438,7049300
25/07/2011,306.987,313.018005,306.806793,309.799805,6256900
26/07/2011,309.33432,314.064056,308.918915,311.571564,4681100
27/07/2011,308.898895,310.785797,302.677673,303.91391,7860900
28/07/2011,302.897888,308.298309,301.801788,305.775787,6210500
29/07/2011,302.417419,307.787781,302.147156,302.147156,8266500
01/08/2011,305.915924,308.058044,299.889893,303.68869,7924200
02/08/2011,303.303314,305.140137,296.081085,296.49649,6394700
03/08/2011,297.432434,301.801788,292.107117,300.885895,7643700
04/08/2011,297.547546,299.724731,289.024017,289.049042,9819300
05/08/2011,291.561554,295.295288,281.281281,289.809814,11846300
08/08/2011,281.771759,284.78479,272.447449,273.283295,14978200
09/08/2011,280.780792,287.59259,270.775787,286.992004,12926400
10/08/2011,280.970978,282.342346,274.13913,274.779785,10728400
11/08/2011,277.187195,284.534546,274.479492,281.346344,9651500
12/08/2011,285.035034,285.535522,280.480469,282.167175,6302200
15/08/2011,276.992004,282.777771,273.298309,278.89389,14275500
16/08/2011,276.491486,276.49649,265.415405,269.769775,13864900
17/08/2011,270.285278,272.117126,265.650665,266.841827,8150000
18/08/2011,261.997009,262.707703,250.495499,252.692688,12568800
19/08/2011,249.919922,257.692688,245.675674,245.705704,10809100
22/08/2011,252.252258,253.753754,247.512512,249.334335,9801900
23/08/2011,252.001999,260.965973,249.779785,259.669678,8684900
24/08/2011,259.924927,265.265259,258.873871,261.906921,7181800
25/08/2011,265.455444,268.9039,259.409424,260.280273,6579400
26/08/2011,260.255249,265.490479,256.826813,263.693695,7185400
29/08/2011,267.547546,269.994995,267.047058,269.809814,4666900
30/08/2011,269.364349,271.766754,265.670685,270.620605,5972000
31/08/2011,272.642639,273.423431,268.26828,270.750763,5381200
01/09/2011,270.64566,272.187195,265.875885,266.51651,4826100
02/09/2011,262.497498,264.224213,260.625641,262.682678,4797500
06/09/2011,255.655655,261.641632,255.505508,261.351349,5426100
07/09/2011,265.490479,268.238251,263.963959,267.282288,5506000
08/09/2011,267.167175,269.819824,266.216217,267.747742,4756200
09/09/2011,265.965973,267.59259,260.855865,262.687683,6531000
